latitude,longitude
-81.504956,28.5392245
-75.7887564,38.4510398
-98.778559,29.141956
127.835103,26.433377
-85.952048,37.626084
13.088304,52.338079
-95.823268,29.522325
120.9208041,14.1298955
-87.940033,41.644102
-90.137908,29.889574
-83.353955,32.04683
-84.8203089,38.403186
-83.718691,41.5271917
-115.384091,36.129459
-122.253717,47.423263
-87.940033,41.644102
-82.024291,34.9893165
-74.026675,40.683935
-81.046876,35.001706
-83.67529,36.540739
-87.634643,24.396308
-97.065649,32.720529
-83.562378,42.526334
-74.057043,40.757384
-122.577014,37.8860986
-84.576827,33.6475029
-81.628444,40.995137
-124.482003,32.528832
-85.436569,41.631582
-80.787631,39.954324
-77.119401,38.801826
-78.991697,33.617059
-97.928935,30.127892
-103.155458,21.9941331
-80.3631122,26.1193834
-106.645646,25.837092
-85.605166,30.355644
-97.998608,34.460573
-81.048291,32.007649
-98.778559,29.141956
-122.160814,37.592632
-87.634643,24.396308
-83.718691,41.5271917
-91.655009,30.146096
-98.057773,26.111766
-74.041878,40.570842
-106.645646,25.837092
-85.605166,30.355644
-79.0075886,35.866334
-80.220059,26.1505822
-75.280284,39.871811
-88.301598,30.523874
-98.778559,29.141956
-78.9448945,35.6443837
-83.67529,36.540739
-88.451199,44.221575
-78.160139,36.7138632
-76.500885,39.3598869
-101.3577428,48.182195
30.8575529,-30.0696808
-94.043628,28.855128
-88.451199,44.221575
-86.348441,39.631677
-87.486546,36.4602
-93.718311,41.986006
-83.549674,42.349201
-91.218994,30.354161
-97.928935,30.127892
-97.5349059,37.562483
-96.85743,32.9971507
165.2522581,4.5730349
-77.606069,39.732851
-80.20811,26.080935
-80.389019,35.9341262
18.3180332,-34.35839
-79.910545,36.609078
-92.5215951,34.6259499
-93.329515,44.889964
-105.3017759,39.953552
-76.334287,36.820791
-84.106764,39.676687
-121.576613,38.43792
-76.334287,36.820791
-85.262516,43.076845
-97.178734,32.981704
-87.022482,35.9945681
-92.734385,32.50363
-112.3579993,33.3847847
-90.20946979522705,32.2974718007911
-89.427669,31.241189
-94.233379,29.9897153
-94.233379,29.9897153
-80.0295184,35.962623
-95.823268,29.522325
-113.9914661,30.9476329
-111.083219,32.057802
-117.534018,33.708126
-97.576154,30.500251
-95.823268,29.522325
-87.940033,41.644102
-81.628444,40.995137
-95.823268,29.522325
-90.137908,29.889574
-84.3219475,33.752879
-73.933612,40.785365
2.7063037,6.3703877
-76.599042,39.084895
-97.028288,32.541286
-76.204476,42.984026
-87.940033,41.644102
-112.3239143,33.29026
-84.3057109,33.690331
-78.160139,36.7138632
102.3336805,9.9055303
-92.5215951,34.6259499
-106.7576226,35.217658
-87.634643,24.396308
-88.653224,43.963944
-77.231293,39.152407
-81.2244846,28.56471
-95.823268,29.522325
-118.037975,33.873395
-92.352506,34.735212
-82.173479,39.27973
-91.655009,30.146096
-76.62797,36.960216
-86.348441,39.631677
-95.823268,29.522325
-112.3239143,33.29026
27.7518557,-26.5126489
-118.668404,33.704538
-83.718691,41.5271917
-90.137908,29.889574
-97.078573,32.563973
-80.0295184,35.962623
-87.634643,24.396308
-92.684702,30.195002
-97.5349059,37.562483
-87.634643,24.396308
