latitude,longitude
-84.3057109,33.690331
-120.00574,35.002086
-95.823268,29.522325
-75.280284,39.871811
-89.57151,36.497129
-74.5750514,41.160143
-81.2445014,28.489488
-84.576827,33.6475029
-95.823268,29.522325
-97.928935,30.127892
-96.234587,41.175884
-97.078573,32.563973
-97.233811,32.586565
-95.74008,34.916402
-96.932509,33.048438
-83.67529,36.540739
-111.083219,32.057802
-80.248423,43.050553
-75.7887564,38.4510398
-81.631306,30.711204
-85.605166,30.355644
-97.1449244,36.0792851
-85.605166,30.355644
-87.022482,35.9945681
-157.96614,21.37939
-84.990997,32.336649
-157.950476,21.254837
-90.137908,29.889574
-88.051385,41.9490494
-117.6836,33.997213
-87.940033,41.644102
-78.757873,40.453457
-90.137908,29.889574
-96.977527,32.620678
-115.316075,35.9607531
-84.386548,30.365093
-90.331039,32.049347
-97.5349059,37.562483
-90.4181075,41.696088
-85.847503,38.108678
-95.586805,29.506247
-117.6836,33.997213
-88.070827,42.920822
-75.275294,39.912157
-123.343425,44.527244
-118.668404,33.704538
-80.457446,27.20569
-71.191421,42.227797
-122.294205,47.884492
-89.173876,42.171924
-106.634874,31.6206683
-97.928935,30.127892
-74.932319,42.261826
-94.61771,33.004106
-99.835853,32.321246
-80.248975,25.9862279
-118.668404,33.704538
-85.847503,38.108678
-77.252801,39.102707
-84.197462,33.7142489
-94.733122,38.868002
-85.605166,30.355644
-74.026675,40.683935
-90.137908,29.889574
-95.823268,29.522325
-80.4081604,25.956799
-97.993537,29.840708
-95.4546393,29.10696
-84.8203089,38.403186
-92.1646741,30.469767
-85.569969,32.532449
-87.634643,24.396308
-117.9491871,34.10673
-81.877771,41.392684
-81.416695,35.656813
-90.24051904678345,30.039656237277242
-81.133668,29.127565
-97.5349059,37.562483
3.198942,6.4826762
-84.344742,39.832662
-95.823268,29.522325
-77.652885,35.2279455
-96.85743,32.9971507
-82.8161102,27.8097901
-85.605166,30.355644
-121.4875756,38.361325
-79.216367,34.654347
-87.626729,33.098411
-97.4478358891211,37.749022995257015
-85.605166,30.355644
-117.5243291,34.033432
-73.606436,41.016898
-98.778559,29.141956
6.894347,51.347573
-80.389019,35.9341262
-96.977527,32.620678
-88.473228,30.144425
-88.473228,30.144425
-92.158649,30.115967
-97.928935,30.127892
-94.043628,28.855128
-124.848975,45.543542
-95.70918,31.711002
-122.514926,37.708075
-96.823367,32.559599
-118.3940862,33.7804411
-90.135782,34.994192
-91.655009,30.146096
-80.0295184,35.962623
-74.026675,40.683935
-89.173876,42.171924
-115.212251,36.184836
-97.538285,32.569477
-95.823268,29.522325
-124.482003,32.528832
-96.015096,30.061706
-96.015096,30.061706
-117.6836,33.997213
-83.200975,35.29043
-118.668404,33.704538
-78.223955,43.233681
-81.2244846,28.56471
-73.962582,40.541722
-87.940033,41.644102
-80.297884,26.228692
-95.823268,29.522325
7.293208,11.5008803
-76.420402,36.786146
-81.452726,41.603963
-95.823268,29.522325
-97.993537,29.840708
-87.7628283,41.631296
-83.3748253,30.762483
-81.869986,32.3604626
-88.070827,42.920822
-74.138938,40.762288
-95.823268,29.522325
-75.7887564,38.4510398
-89.767995,36.21856
-76.334287,36.820791
-75.6146150033941,6.09192599666967
-79.639319,43.403221
-111.083219,32.057802
-80.246538,25.926454
-95.823268,29.522325
-74.25136,40.679997
-122.9599826,49.175445
-119.732263,36.782957
-75.7887564,38.4510398
-106.645646,25.837092
-118.037391,33.809829
-84.3219475,33.752879
-93.627891,44.795962
-105.610328,20.6672205
-89.950564,35.2631147
